[0.000000] (-) TimerEvent: {}
[0.007175] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.007233] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.007286] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.007341] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.007469] (-) JobUnselected: {'identifier': 'navigation2'}
[0.007575] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.007675] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.007775] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.007873] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.007971] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.008067] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.008162] (-) JobUnselected: {'identifier': 'pointcloud_to_laserscan'}
[0.008295] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.008394] (-) JobUnselected: {'identifier': 'serial'}
[0.008493] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.008588] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.008685] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.008782] (-) JobUnselected: {'identifier': 'tts'}
[0.008879] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.008977] (-) JobUnselected: {'identifier': 'ublox'}
[0.009074] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.009170] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.009268] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.009363] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
[0.009456] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.009571] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.009670] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.009769] (-) JobUnselected: {'identifier': 'wheeltec_dual_rtk_driver'}
[0.009864] (-) JobUnselected: {'identifier': 'wheeltec_gps_driver'}
[0.009960] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.010055] (-) JobUnselected: {'identifier': 'wheeltec_mic_aiui'}
[0.010151] (-) JobUnselected: {'identifier': 'wheeltec_mic_msg'}
[0.010248] (-) JobUnselected: {'identifier': 'wheeltec_mic_ros2'}
[0.010343] (-) JobUnselected: {'identifier': 'wheeltec_multi'}
[0.010440] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.010535] (-) JobUnselected: {'identifier': 'wheeltec_path_follow'}
[0.010648] (-) JobUnselected: {'identifier': 'wheeltec_radar'}
[0.010748] (-) JobUnselected: {'identifier': 'wheeltec_robot_kcf'}
[0.010845] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.010938] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.011033] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.011125] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.011222] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.011315] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.011410] (-) JobUnselected: {'identifier': 'wheeltec_rviz2'}
[0.011506] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.011601] (-) JobUnselected: {'identifier': 'yesense_interface'}
[0.011696] (-) JobUnselected: {'identifier': 'yesense_std_ros2'}
[0.011813] (qt_ros_test) JobQueued: {'identifier': 'qt_ros_test', 'dependencies': OrderedDict()}
[0.011940] (qt_ros_test) JobStarted: {'identifier': 'qt_ros_test'}
[0.099083] (-) TimerEvent: {}
[0.144019] (qt_ros_test) JobProgress: {'identifier': 'qt_ros_test', 'progress': 'cmake'}
