[0.000000] (-) TimerEvent: {}
[0.004526] (-) JobUnselected: {'identifier': 'nav2_smac_planner'}
[0.004586] (-) JobUnselected: {'identifier': 'nav2_smoother'}
[0.004646] (-) JobUnselected: {'identifier': 'nav2_theta_star_planner'}
[0.004706] (-) JobUnselected: {'identifier': 'nav2_util'}
[0.004766] (-) JobUnselected: {'identifier': 'nav2_velocity_smoother'}
[0.004827] (-) JobUnselected: {'identifier': 'nav2_voxel_grid'}
[0.004888] (-) JobUnselected: {'identifier': 'nav2_waypoint_cycle'}
[0.004947] (-) JobUnselected: {'identifier': 'nav2_waypoint_follower'}
[0.005007] (-) JobUnselected: {'identifier': 'nav_2d_msgs'}
[0.005068] (-) JobUnselected: {'identifier': 'nav_2d_utils'}
[0.005127] (-) JobUnselected: {'identifier': 'navigation2'}
[0.005187] (-) JobUnselected: {'identifier': 'nmea_msgs'}
[0.005247] (-) JobUnselected: {'identifier': 'nmea_navsat_driver'}
[0.005307] (-) JobUnselected: {'identifier': 'ollama_ros_chat'}
[0.005367] (-) JobUnselected: {'identifier': 'ollama_ros_msgs'}
[0.005427] (-) JobUnselected: {'identifier': 'openslam_gmapping'}
[0.005486] (-) JobUnselected: {'identifier': 'orb_slam2_ros'}
[0.005547] (-) JobUnselected: {'identifier': 'pointcloud_to_laserscan'}
[0.005636] (-) JobUnselected: {'identifier': 'qt_ros_test'}
[0.005699] (-) JobUnselected: {'identifier': 'rplidar_ros'}
[0.005759] (-) JobUnselected: {'identifier': 'serial'}
[0.005820] (-) JobUnselected: {'identifier': 'simple_follower_ros2'}
[0.005880] (-) JobUnselected: {'identifier': 'slam_gmapping'}
[0.005940] (-) JobUnselected: {'identifier': 'tf2_tools'}
[0.006001] (-) JobUnselected: {'identifier': 'tts'}
[0.006061] (-) JobUnselected: {'identifier': 'turn_on_wheeltec_robot'}
[0.006120] (-) JobUnselected: {'identifier': 'ublox'}
[0.006180] (-) JobUnselected: {'identifier': 'ublox_gps'}
[0.006240] (-) JobUnselected: {'identifier': 'ublox_msgs'}
[0.006300] (-) JobUnselected: {'identifier': 'ublox_serialization'}
[0.006360] (-) JobUnselected: {'identifier': 'ultralytics_ros2'}
[0.006433] (-) JobUnselected: {'identifier': 'usb_cam'}
[0.006497] (-) JobUnselected: {'identifier': 'web_video_server'}
[0.006561] (-) JobUnselected: {'identifier': 'wheeltec_cartographer'}
[0.006624] (-) JobUnselected: {'identifier': 'wheeltec_dual_rtk_driver'}
[0.006687] (-) JobUnselected: {'identifier': 'wheeltec_gps_driver'}
[0.006747] (-) JobUnselected: {'identifier': 'wheeltec_joy'}
[0.006809] (-) JobUnselected: {'identifier': 'wheeltec_mic_aiui'}
[0.006873] (-) JobUnselected: {'identifier': 'wheeltec_mic_msg'}
[0.006934] (-) JobUnselected: {'identifier': 'wheeltec_mic_ros2'}
[0.006996] (-) JobUnselected: {'identifier': 'wheeltec_nav2'}
[0.007059] (-) JobUnselected: {'identifier': 'wheeltec_path_follow'}
[0.007122] (-) JobUnselected: {'identifier': 'wheeltec_radar'}
[0.007184] (-) JobUnselected: {'identifier': 'wheeltec_robot_kcf'}
[0.007249] (-) JobUnselected: {'identifier': 'wheeltec_robot_keyboard'}
[0.007311] (-) JobUnselected: {'identifier': 'wheeltec_robot_msg'}
[0.007376] (-) JobUnselected: {'identifier': 'wheeltec_robot_rrt'}
[0.007441] (-) JobUnselected: {'identifier': 'wheeltec_robot_rtab'}
[0.007505] (-) JobUnselected: {'identifier': 'wheeltec_robot_urdf'}
[0.007569] (-) JobUnselected: {'identifier': 'wheeltec_rrt_msg'}
[0.008129] (-) JobUnselected: {'identifier': 'wheeltec_rviz2'}
[0.008205] (-) JobUnselected: {'identifier': 'wheeltec_slam_toolbox'}
[0.008273] (-) JobUnselected: {'identifier': 'yesense_interface'}
[0.008338] (-) JobUnselected: {'identifier': 'yesense_std_ros2'}
[0.008425] (wheeltec_multi) JobQueued: {'identifier': 'wheeltec_multi', 'dependencies': OrderedDict([('nav2_common', '/home/wheeltec/wheeltec_ros2/install/nav2_common'), ('serial', '/home/wheeltec/wheeltec_ros2/install/serial'), ('nav2_msgs', '/home/wheeltec/wheeltec_ros2/install/nav2_msgs')])}
[0.008540] (wheeltec_multi) JobStarted: {'identifier': 'wheeltec_multi'}
[0.098146] (-) TimerEvent: {}
[0.198652] (-) TimerEvent: {}
[0.260125] (wheeltec_multi) JobProgress: {'identifier': 'wheeltec_multi', 'progress': 'cmake'}
[0.263263] (wheeltec_multi) JobProgress: {'identifier': 'wheeltec_multi', 'progress': 'build'}
